clean_tweet,Compound_Score,Sentiments
"Kita tidak bisa menutup mata lho, jangan hanya karena satu kesalahan, itu merusak kinerja orang.
Saya menilai orang dengan adil.
Faktanya, PSSI pimpinan Mochammad Iriawan mampu lolos ke dua tim Piala Asia dan bisa menjadi tuan rumah Piala Dunia U-20. https://t.co/jJmkkZ2f3d",-0.7184,Negatif
"ibu resign itu 1 hal mudah.. cuma berharap fifa di banned oleh indonesia. pindah ke negara lain untuk menjadi tuan rumah piala dunia U-20, larangan bermain internasional selama 1-2 tahun. d jamin.. bunda sampai OB PSSI siap lengser.

karena suporter bodoh yang memulai kerusuhan.. semua orang bisa terpengaruh.",-0.296,Negatif
"Lihat kolom komentar :))) Sudah bagus, tidak perlu tuan rumah piala dunia U-20, tim Israel nanti dilempar botol oleh orang-orang kunci surga ini",0.6124,Positif
"Cerita bersama ibu di rumah
mungkin semua yang dimiliki pria ini berjalan sesuai rencana. Dari timnas bermain bagus, lolos Piala Asia, hingga menjadi tuan rumah Piala Dunia U-20.

Namun karena ada niat buruk di balik hal-hal tersebut, maka akan ada hal-hal yang membuat Anda tersandung.",-0.5423,Negatif
"Ramalan:

Indonesia masih akan menjadi tuan rumah Piala Dunia U-20

Saya lupa pelajaran penting dari Sekjen PSSI tertua, Nugraha Besoes, dari Kang Nunu, saya paham bahwa pada prinsipnya FIFA, konfederasi dan federasi adalah rekan yang baik... jadi selama lobi dan penjelasan diterima, ya Oke",0.7717,Positif
"Gan.... Timnas masih main, tapi Indonesia bukan tuan rumah di Piala Dunia U-20.

Menurut saya Uda bijak, melihat dari kejadian ini kita harus paham bahwa kita tidak pantas menjadi tuan rumah yang baik. Apalagi banyak polisi kita yang berdarah dingin",0.8555,Positif
"Dicabut oleh tuan rumah Piala Dunia U-20, Anda tahu bagaimana rasanya, beritahu siaran resmi untuk tidak bermain larut malam. Inilah penyebab awal dari tragedi tersebut, coba buat studi banding ke liga-liga top Eropa atau Asia, jangan bodoh. Jika dia tidak ingin mencari TV lain",-0.929,Negatif
"SELAMAT DATANG SEPAKBOLA INDONESIA…
Sanksi FIFA pasti
Kemungkinan menjadi tuan rumah piala dunia U-20 telah dibatalkan
Padahal timnas masih top performance di segala usia
STY keluar???",0.3899,Positif
"Itu tanggung jawab pak yang dulu inframe saat timnas main, mundur saja kalau tidak, piala dunia U-20 sebagai tuan rumah bukan apa-apa lagi.. Berlepotan.",0.2023,Positif
"Belasungkawa saya kepada mereka yang meninggal, dan terima kasih kepada Anda para idiot yang membuat masalah tadi malam. karena kalian orang Indonesia mungkin tidak bermain di piala dunia U-20 dan bisa membatalkan menjadi tuan rumah #RestInPeace #RestInPeace https://t.co/tiZsYsaWDB",-0.7805,Negatif
"Selamat tinggal untuk:
- Piala Asia 2023
- Piala Asia U-20
- Tuan rumah Piala Dunia U-20",0.6124,Positif
"Selamat tinggal untuk:
- Piala Asia 2023
- Piala Asia U-20
- Tuan rumah Piala Dunia U-20",0.6124,Positif
"[askrl] Turut berduka cita untuk keluarga korban, Timnas Indonesia hancur, impian menjadi tuan rumah Piala Dunia U-20 dan bermain di AFC untuk Senior dan U-19 pupus sudah :) https://t .co/3QiK7NldEY",0.0772,Positif
"namun dibalik semua itu sangat disayangkan, saat timnas tampil bagus dan lolos ke piala asia, kompetisi kembali berjalan dengan kehadiran penonton, indonesia menjadi tuan rumah piala dunia u-20, namun dirusak oleh suporter yang tidak bertanggung jawab. dan pejabat represif :)",-0.6946,Negatif
"semoga tidak di banned dari fifa, tahun depan timnas kita banyak agenda internasional, jangan sampai gagal main di piala asia & tuan rumah piala dunia u-20 karena di banned fifa 😭😭😭😢",-0.8484,Negatif
"Tragedi sepak bola dengan korban meninggal terbanyak kedua dalam sejarah, di dunia.

Tahun depan akan menjadi tuan rumah Piala Dunia U-20.

Hati saya kembali senang karena Timnas U-20 bermain bagus. eh..",0.2023,Positif
"mumpung timnas lagi naik daun, jelang piala asia, tuan rumah piala dunia u-20, sanksi fifa menanti :)",0.5267,Positif
Memang benar FIFA membekukan sepak bola Indonesia. Mari membekukannya! Bagaimana dengan timnas yang bermain di Asia atau gagal menjadi tuan rumah Piala Dunia U-20?,0.2003,Positif
"Doakan saja agar FIFA tidak membatalkan Indonesia sebagai tuan rumah piala dunia u-20 :)

#aremaia #kanjuruhan",0.7219,Positif
"Piala Dunia U-20 berikutnya adalah tahun 2023 di Indonesia. Indonesia sudah pasti lolos sebagai tuan rumah. Jadi apapun hasil Indonesia di Piala Asia U-20 2023 nanti, apakah lolos ke semifinal atau tidak, Indonesia tetap akan bermain di Piala Dunia U-20 2023",0.6249,Positif
"Jadwal Pelatih Shin Tae Young dan Timnas Indonesia 🇮🇩 2023:
- Piala Asia U20 Uzbekistan
1 Maret - 18 Maret 2023
- Piala Dunia U-20 Indonesia
20 Mei - 11 Juni 2023
- Piala Asia (Senior)
16 Juni - 16 Juli 2023
* Tuan rumah masih belum diperbaiki.
#kitaGaruda #HariTimnas",0.0,Netral
"Tim ini akan lolos ke Piala Asia U-20 tahun depan, sedangkan Indonesia juga akan menjadi tuan rumah Piala Dunia U-20 tahun depan, apakah tim yang bermain akan sama di 2 event tersebut?",0.2023,Positif
"2023
-Timnas Senior bermain di Piala Asia
-Timnas U-20 bermain di Piala Asia
-Timnas U-20 bermain di Piala Dunia sebagai tuan rumah

Timnas menang pasti karena tahun ini saya beli jersey Timnas Home & Away",0.886,Positif
"Beberapa stadion telah menjadi tuan rumah Piala Dunia U-20

Kebanyakan dari mereka memiliki fitur yang sama: terhubung langsung ke stasiun kereta, setidaknya itu adalah halte trem :) https://t.co/GGpP1DXKOh",0.2023,Positif
"Jadi, ini juga bisa jadi pelajaran untuk Piala Dunia U-20 tahun depan saat kita jadi tuan rumah. Jangan sampai ke Ramen kalau kita baru main, padahal acaranya tingkat Internasional.",0.2023,Positif
Bayangkan bagaimana reaksi pesepak bola U-20 negara lain saat bertanding di Indonesia pada Piala Dunia nanti. Mungkin juga bisa menjadi daya tarik FIFA bagi Indonesia untuk menjadi tuan rumah di ajang senior nanti.,0.5859,Positif
"Untukmu aku berdoa. Di masa depan Anda akan bermain lebih baik! Bisa mencetak gol dan menang melawan negara di atas Vietnam atau Thailand.
Lolos ke Piala Asia tahun ini. Kualifikasi Piala Dunia U-20 tahun depan sudah di luar jalur tuan rumah. https://t.co/rnVVOGGfKK",0.8932,Positif
"Peluangnya kecil karena Anda pernah menjadi tuan rumah piala dunia U-20 & sebenarnya membuat Anda sedikit khawatir ketika melihat rumput di stadion Indonesia belakangan ini..

Tapi gapapa, semoga bisa terpilih 🤲",0.6908,Positif
"Anda harus membeli jersey tim nasional Indonesia. Tahun depan, jika Acc menjadi tuan rumah Piala Asia, akan ada banyak event timnas selain Piala Dunia U-20.",0.0,Netral
"Indonesia Jadi Tuan Rumah, PSSI dan Pemerintah Tak Masalah Israel Main di Piala Dunia U-20 https://t.co/CWrRu4mZf0",0.4692,Positif
"Indonesia Jadi Tuan Rumah, PSSI dan Pemerintah Tak Masalah Israel Main di Piala Dunia U-20 https://t.co/crZFnM6TaG",0.4692,Positif
"Indonesia Jadi Tuan Rumah, PSSI dan Pemerintah Tak Masalah Israel Main di Piala Dunia U-20
https://t.co/nLZ45hjxB4",0.4692,Positif
"Indonesia bisa bermain di FIFA U-20 World Cup hanya karena menjadi tuan rumah. Israel bermain karena lolos Kualifikasi..?
Lalu kami berpura-pura memboikot Israel..
Malu pada mayoritas, bukan?",-0.3313,Negatif
"Yah, sangat rumit bagi Anda untuk tidak menerima standar ganda FIFA. Lalu apa yang akan Anda lakukan jika Israel bermain di piala dunia U-20? Ingin menjadi polisi dunia dan menghukum Israel? Anda lucu. Gagal saja Indonesia menjadi tuan rumah. Kalian semua sangat pandai membuat keributan.",0.1948,Positif
"Dengan asumsi pemusatan latihan dimulai 5 hari sebelum pertandingan uji coba pertama, berarti pemusatan latihan terakhir akan diadakan sekitar tanggal 23 Mei 2023. Artinya, 3 hari setelah pembukaan Piala Dunia U-20 (kami tuan rumah, bermain di pertandingan pertama) Anda harus melakukan TC.",0.2023,Positif
"Kronologi 1:
27 Mei 2019 - PSSI mengajukan tawaran menjadi tuan rumah Piala Dunia U-20. PSSI telah menyiapkan beberapa stadion untuk melengkapi dokumen FIFA Overview of the Bidding Process.
19 Juli 2019 - Menpora menyurati Presiden.
23-24 Oktober 2019 - Rapat umum Dewan FIFA di Shanghai, Tiongkok.",0.2263,Positif
"Kronologi 1:
27 Mei 2019 - PSSI mengajukan tawaran menjadi tuan rumah Piala Dunia U-20. PSSI telah menyiapkan beberapa stadion untuk melengkapi dokumen FIFA Overview of the Bidding Process.
19 Juli 2019 - Menpora menyurati Presiden.
23-24 Oktober 2019 - Rapat umum Dewan FIFA di Shanghai, Tiongkok.",0.2263,Positif
"Udah jadi tuan rumah Piala Dunia U-20, sekarang maju mencalonkan diri untuk Piala Asia, wah sibuk ya?",0.5859,Positif
"Hahaha.. Mungkin itu juga yang dipikirkan FIFA kenapa JIS tidak dipilih menjadi tuan rumah piala dunia U-20.. Karena lebih ke politik daripada olahraga

😀😀😀😀",0.9118,Positif
"FIFA telah menunjuk empat kota untuk menjadi tuan rumah Piala Dunia U-20.
Solo
Bali
Surabaya
Palembang

Wow Keren👏🤚👍.",0.8519,Positif
Padahal tuan rumah Piala Dunia U-20 adalah GBK dan 5 stadion lainnya. Sangat membutuhkan ketahanan konten. Ha ha,0.5859,Positif
terima kasih banyak fifa / Terima kasih banyak FIFA.. atas penunjukan kami Indonesia sebagai tuan rumah Piala Dunia U-20 2023 di Jakarta Bandung Solo Jogja Surabaya dan Denpasar❤💚💛💜👍👍👍,0.9712,Positif
tenang bar 2023 akan bermain di Piala Dunia U-20 di garis tuan rumah 😎,0.7717,Positif
"Jadi, siapa yang berencana ke Bali? Jangan lupa tanggal 31 Maret akan ada pengundian grup Piala Dunia U-20 di taman Werdhu Budaya Art Center lho

Sangat bangga menjadi tuan rumah dan membuktikan kepada dunia bahwa #IndonesiaReadyU20",0.6866,Positif
"Nah, buat kamu yang berencana ke Bali di akhir bulan Maret ini bisa mampir.

Soalnya tanggal 31 Maret nanti ada pengundian grup Piala Dunia U-20 di Taman Werdhi Budaya Art Center Bali lho!

Tuan rumah #IndonesiaSiapU20 https://t.co/Rf1pWG18cc",-0.636,Negatif
"Bali United memiliki Training Center di kawasan Pantai Purnama, Gianyar. Memiliki fasilitas yang mumpuni dan juga pemandangan yang indah sehingga dijadikan sebagai destinasi wisata olahraga kontestan Piala Dunia U-20 2023 yang akan digelar mulai Mei mendatang.
#IndonesiaSiapU20 menjadi tuan rumah",0.7717,Positif
"Dan Piala Dunia U-20 2023 akan di selenggarakan mulai tanggal 20 Mei 2023 di 6 kota guys, wah senang sekali kami menjadi tuan rumahnya...
#IndonesiaSiapU20 https://t.co/cntn3unzTn",0.5719,Positif
"Di akhir bulan Maret, rencana mau kemana? Misalnya ke Bali? Akan ada pengundian grup piala dunia U-20. Lokasinya berada di dalam Art Center Taman Werdhi Budaya.
Tuan rumah
#IndonesiaSiapU20 https://t.co/ul0vWf1eFx",0.0,Netral
"Kementerian PUPR memastikan stadion yang menjadi tempat penyelenggaraan Piala Dunia U-20 telah memenuhi standar FIFA.
#IndonesiaSiapU20
Tuan rumah
Game singgasana https://t.co/GvqBCpMV1U",0.0,Netral
"Ada 6 stadion yang akan menjadi tuan rumah Piala Dunia U-20 2023, dan 3 diantaranya sudah dipercaya Datra untuk memasang single seat seat, antara lain Stadion Gelora Bung Karno (GBK), Stadion Gelora Bung Tomo (GBT) & Stadion Manahan Solo. 🏟🏟🏟

#fifau20 https://t.co/aqhrszhOcf",0.4767,Positif
Kandidat tuan rumah Piala Dunia U-20 desa banget :(,-0.4902,Negatif
"karakter yang sulit diubah. Mengapa Anda ingin masuk piala dunia?
oh iya, apalagi menyelenggarakan pildun U-20, duh kurang ajar",-0.25,Negatif
"Level U-20 tidak sama dengan yang senior..
Untuk kapasitas stadion, syaratnya minimal 40.000 single seat, dan untuk final harus 80.000 single seat.

Indonesia masih jauh dari layak menjadi tuan rumah Piala Dunia Senior, belum lagi transportasi dan fasilitas pendukungnya.",0.4404,Positif
"Kenapa kamu tidak percaya?
Indonesia naik peringkat
Tim nasional memasuki Piala Asia
Masuk piala dunia U-20
Dipercaya menjadi tuan rumah

#BrainDonationForAremania",0.4767,Positif
"Bagi dunia olah raga khususnya sepak bola akan berjalan dengan lancar dan aman. Apalagi kita akan menghadapi tuan rumah Piala Dunia U-20 2023.

Cepmek | gempa bumi | KRL Jabodetabek | Tifa | Puyo | Utama | Pukul 10.10 | Kesehatan Jiwa | Jawa Tengah | Banten |
#BanggaJokowi https://t.co/fqXGqIiKal",0.4939,Positif
"Meski ingin menjadi tuan rumah piala dunia U-20 tahun depan, mengapa standar keamanan pertandingan sepak bola masih belum menerapkan aturan FIFA?",0.4767,Positif
"Indonesia resmi dipercaya menjadi tuan rumah Piala Dunia U-20 2023.

Namun, kemungkinan itu hilang..

Sedih sekali 😫",-0.7484,Negatif
"Sama sekali TIDAK, Kepala.

Itu berarti:
FIFA kemungkinan besar akan menangguhkan Indonesia menjadi tuan rumah Piala Dunia U-20 2023 mendatang, kemudian memindahkan lokasi pertandingan. https://t.co/tUxY0qrksU",-0.3182,Negatif
Tolong fifa batalkan saja Indonesia sebagai tuan rumah Piala Dunia U-20 dan ban sepak bola Indonesia.,-0.5106,Negatif
"-Larang Arema mengikuti semua event sepak bola nasional minimal 5 tahun
-menurunkan arema
-FIFA harus menghukum PSSI
-iwan bule WAJIB lengser
-PT LIB harus melepaskan hak pengelolaan liga kepada pihak lain
-Batalkan hak menjadi tuan rumah Piala Dunia U-20",-0.6808,Negatif
"Efek dominonya akan panjang, mulai dari status lanjutan liga, sponsor & investor, sanksi dari FIFA (kemungkinan besar), pertimbangan merevisi Indonesia jadi tuan rumah Piala Dunia U-20, aib sepak bola Indonesia di mata dunia, masalah kepercayaan publik terhadap sepak bola..

rumit gan..",0.0258,Positif
"Padahal tahun depan akan menjadi tuan rumah piala dunia U-20 namun timnas belum memiliki pusat latihan. Sudah 92 tahun sejak federasi didirikan, federasi lebih tua dari negara bagian. 8 tahun sudah satu abad loh 😂",0.5927,Positif
Kesiapan Indonesia Menjadi Tuan Rumah Piala Dunia U-20: Perlu Sedikit Perbaikan Oleh SINDOnews - https://t.co/j9Pj2t7Gxr,0.5106,Positif
Indonesia's readiness to host the U-20 World Cup: Needs Minor Improvements https://t.co/jRQCFKlLBI #Terbaru #butuh #dunia #indonesia #kesipan,0.5106,Positif
"Kesiapan Indonesia Menjadi Tuan Rumah Piala Dunia U-20: Perlu Sedikit Perbaikan

 #Sindonews #NotBeritaBiasa . https://t.co/mriIeEnOKE",0.5106,Positif
"Pada Logo Piala Dunia U-20 terdapat mahkota yang mewarnai kegemaran global terhadap permainan sepak bola di berbagai benua.
Tuan rumah
#IndonesiaSiapU20 https://t.co/b9CWUq4sE2",0.4588,Positif
"disini ya....
Piala Dunia U-20 akan diselenggarakan mulai 20 Mei 2023 🥳

Jangan lupa kita sebagai tuan rumah yang baik jangan sampai rusuh ya?

#IndonesiaSiapU20 https://t.co/cnxfOj2Otb",0.8061,Positif
"Jujur saya sangat ingin Indonesia menjadi tuan rumah Piala Dunia, tapi dengan adanya U-20 juga akan memudahkan Indonesia saat penawaran nanti. Amin.

#IndonesiaSiapU20 https://t.co/NrIa3SEwTR",0.7308,Positif
"Siapa tahu dari tuan rumah Piala Dunia U-20 akan lahir Ronaldo atau Messi baru.

#IndonesiaSiapU20 https://t.co/SFLPLszSMP",0.0,Netral
"Tampaknya berlaga di Piala Dunia adalah impian semua orang, termasuk Timnas U-20, dan itu menjadi kenyataan dalam beberapa bulan karena menjadi tuan rumah.
#IndonesiaSiapU20 https://t.co/gbGlv4KXuz",0.5859,Positif
"Berikut jadwal penyelenggaraan Piala Dunia U-20 di Indonesia. Laga pertama akan digelar pada 20 Mei 2023. Kemudian final pada 3 Juni 2023.

Tuan rumah
#IndonesiaSiapU20 https://t.co/MNCJnV76P3",0.0,Netral
Btw ini jadwal pertandingan piala dunia gaes. Mari dicatat dan dibagikan. Beritahu yang lain bahwa Indonesia akan menjadi tuan rumah U-20. #IndonesiaSiapU20 https://t.co/yp7B7HEYut,0.296,Positif
"Semoga dengan kerjasama semua pihak
Mulai dari pemerintah, jajaran hingga relawan
Piala dunia U-20 berjalan lancar
Semua kendala teratasi
Indonesia sebagai tuan rumah memiliki dampak positif di masa depan
BERSAMA KITA BISA 💪

 #IndonesiaSiapU20

https://t.co/tKWF2Vdosp",0.7964,Positif
"Nah, bisa diperhatikan kapan Piala Dunia U-20 akan digelar, di Indonesia sebagai tuan rumah
#IndonesiaSiapU20 https://t.co/zGD3UqARfw",0.0,Netral
"Jadi pengen ke Bali. Rindu untuk kembali. ada yang sama gak? Btw nanti ada group draw untuk event piala dunia U-20 di taman Werdhi Budaya Art Center, Bali guys.
Tuan rumah
 #IndonesiaSiapU20 https://t.co/ccO5oWxhfa",-0.0018,Negatif
"Jadi Piala Dunia U-20 2023 akan diadakan di 6 kota guys. Yakni Palembang, Jakarta, Bandung, Surakarta, Surabaya, dan juga Bali. Btw, ada yang mampir juga nggak? Selamat Indonesia menjadi tuan rumah #IndonesiaSiapU20 https://t.co/ft6lW5wBkU",-0.4585,Negatif
"Siapa yang tidak bangga mencoba
Negara kita terpilih menjadi tuan rumah Piala Dunia U-20 2023
Tidak membosankan untuk mengulanginya dari sebelumnya
MANTAPZ pokoknya 👍
Lancar dan sukses pak

#IndonesiaSiapU20",0.3834,Positif
"Mari dukung dan sukseskan Indonesia sebagai tuan rumah Piala Dunia U-20. Tentu saja Anda bisa!
#IndonesiaSiapU20",0.7777,Positif
Mari dukung dan doakan kelancaran Piala Dunia U-20 2023 yang akan digelar di stadion 6 kota besar tuan rumah Indonesia. #IndonesiaSiapU20,0.6124,Positif
"PSSI dan FIFA Kompakam memastikan kesiapan stadion untuk ajang bergengsi Piala Dunia U-20 nanti

#IndonesiaSiapU20
 Tuan rumah https://t.co/idw5vzKjqI",0.5574,Positif
"Oh iya gaes, kebayang nggak sih dengan Indonesia jadi tuan rumah Piala Dunia U-20, akan banyak dampak positif dan cipratan rejekinya, mulai dari pariwisata, perhotelan, transportasi lho #IndonesiaSiapU20",0.7003,Positif
"Jadi dengan keterlibatan timnas Indonesia di Piala Dunia U-20 bukan hanya menjadi tanggung jawab timnas saja guys, tapi juga pemerintah selaku tuan rumah harus memastikan timnas Indonesia mendapat dukungan yang cukup untuk tampil maksimal. #IndonesiaSiapU20",0.872,Positif
"Belakangan ini, 6 stadion tersebut belum diperbolehkan menggelar Liga 1 dulu. Ia mengatakan sedang dalam tahap perbaikan dan persiapan menjadi tuan rumah Piala Dunia U-20

#IndonesiaSiapU20",-0.2584,Negatif
"Oh iya, dan yang juga menarik dari piala dunia U-20 ini adalah logo yang digunakannya. Dimana logo tersebut terinspirasi dari kekayaan alam dan budaya Indonesia sebagai tuan rumah, begitu banyak warna cerah yang tergambar pada logo ini. #IndonesiaSiapU20 https://t.co/d0RQNyUtqm",0.9475,Positif
"Selain itu, kesuksesan Piala Dunia U-20 tentunya akan melahirkan anak-anak muda yang jago bermain sepak bola, sehingga menjadi superstar di lapangan hijau. Kita berharap Indonesia sebagai tuan rumah juga bisa melahirkan pemain-pemain hebat. #IndonesiaSiapU20",0.9501,Positif
"Dan mari manfaatkan momentum Indonesia sebagai tuan rumah piala dunia U-20 ini, karena kesempatan ini juga membuka peluang bagi sekitar 1.500 relawan yang akan mendapatkan peluang kerja dan pengalaman tak terlupakan nantinya. #IndonesiaSiapU20 https://t.co/li2AJtJyna",0.8573,Positif
"Maka suksesnya penyelenggaraan Piala Dunia U-20 ini tergantung dari kerjasama semua pihak tanpa terkecuali termasuk kami sebagai masyarakat umum, karena dukungan kami sangat berarti bagi suksesnya acara ini. #IndonesiaSiapU20, tuan rumah https://t.co/yZIgQsMW2U",0.9153,Positif
"Sebagai tuan rumah Piala Dunia U-20, timnas sepak bola Indonesia otomatis mendapat kesempatan untuk mengikuti turnamen tersebut. #IndonesiaSiapU20",0.4215,Positif
"Dan atas segala kelebihan sebagai tuan rumah tentunya tidak lupa kami berikan dukungan untuk para talenta yang akan mengikuti Piala Dunia U-20 2023 nanti
#IndonesiaSiapU20",0.8345,Positif
"Selain itu, prestasi Timnas U-20 Indonesia yang baik serta kenyamanan dan keamanan para peserta dan pendukungnya selama berada di Indonesia juga menjadi tolok ukur keberhasilan Piala Dunia U20.
Tuan rumah #IndonesiaSiapU20",0.93,Positif
"Usai pengundian, akan digelar “trophy experience” yang akan menjadi momen bagi masyarakat untuk berinteraksi langsung dengan trofi juara Piala Dunia U-20 2023.
Tuan rumah #IndonesiaSiapU20",0.4404,Positif
"FIFA juga telah meluncurkan logo Piala Dunia U-20 2023. Lambang didominasi oleh warna merah, putih, biru dan kuning yang membentuk piala. Pengumuman tersebut bertepatan dengan HUT RI ke-77 tahun 2022. #IndonesiaReadyU20",0.128,Positif
"Tuan dan staf
Mari sukseskan Piala Dunia U-20 2023
Kami memajukan ekonomi dan semua sektor yang berdampak positif dengan acara internasional ini
Kami BISA pak 💪

Tuan rumah
#IndonesiaSiapU20",0.8074,Positif
"Akibatnya, Piala Dunia U-20 dianggap sebagai salah satu acara sepak bola terpenting di dunia dan merupakan acara yang ditunggu-tunggu oleh para penggemar sepak bola muda di seluruh dunia.
Tuan rumah #IndonesiaSiapU20",0.2716,Positif
