Kasifikasi,Tweet,Username,Label,,Datetime,,,Tweet Id
1,"Pildun U-20 batal, Indonesia mungkin di Banned Fifa, Liga 1,2,3 stop scr resmi, beribu2 org mungkin bakal jd pengangguran. Dan setiap kekacauan kek gini pasti ada salah satu Parpol yg ikut andil(Simerah), lalu ada jg Alumni ormas 2#2 (Putih2 Fans Real mdrd) yg iku jg bkin panas.",hryxur,NEGATIF,,2023-03-29 18:25:04+00:00,,,1641144457449062400
1,"@idextratime Para manusia tolol, FIFA bilang batal karena kanjuruhan kok yang disalahin politisi

Lagi juga kalo tetep main di wc u-20 kaya udah pasti juara aja",nabiils,NEGATIF,,2023-03-29 17:05:11+00:00,,,1641124356352020481
1,"COKKKK ASU INI PIALA DUNIA COK BATAL JADI TUAN RUMAH, kapan lagi cok main di piala dunia ya meskipun U-20 its still piala dunia jadi tuan rumah lagi, tournament ga dibawah FIFA kaya AFF aja dijabanin mulu, sekalinya ini yang lebih jelas malah ditolak, bukan masalah ngelanggar",alanptr_,NEGATIF,,2023-03-29 16:27:27+00:00,,,1641114857163440147
2,"Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20, FIFA: Kondisi Tidak Ideal https://t.co/w8SoYcHlH5",luzidiamanda,NETRAL,,2023-03-29 16:26:56+00:00,,,1641114728994054144
1,"@idextratime 1. Israel tetap main di piala dunia U-20
2. Palestina tetap bs main di event2 FIFA
3. Israel-Palestina ttp perang
4. Mimpi anak-anak tim Indonesia U-20 HANCUR krn batal bermain di PD
5. Indonesia kemungkinan dpt sanksi dr FIFA

kalo begini siapa yg rugi sih?",vit_sapipa,NEGATIF,,2023-03-29 16:26:00+00:00,,,1641114493265797123
1,"Gapernah semalu ini jdi WNI, pildun u-20 yg itungan hari di cancel FIFA perkara gubernur'nya nolak israel buat dateng. Padahal dubes palestine welcome sama israel dan pelatih bola palestine aja dari israel. Kasian pemain u-20 udh cape2 latihan buat pildun, eh batal gara2 politik.",OwenWakaWaka,NEGATIF,,2023-03-29 15:56:02+00:00,,,1641106952230178817
1,"Indonesia Batal Pildun U-20, terus FIFA tunjuk Qatar buat ganti Indonesia, sama Israel main di Qatar, mau tau reaksi yang nolak bakalan gimana ??",DitoAnshr,NEGATIF,,2023-03-29 15:41:22+00:00,,,1641103261448175618
1,"Gue gak sebel pildun u-20 batal di Indo, gue sebel karena alasan batalnya adalah sentimen anti-Israel, sedangkan kemaren pas tragedi Kanjuruhan ratusan orang tewas, gak ada akuntabilitasnya tp masih aja dilanjutin. FIFA really need to fix their priority.",stephvalentina_,NEGATIF,,2023-03-29 15:40:12+00:00,,,1641102966940913664
3,"@Fajarilm @idextratime lahhh udah jelas dong batal jadi host karena ada penolakan Tim Israel main di Pildun u-20, paragraf selanjutnya menuliskan fifa tidak akan berhenti memberikan asistensi terkait kejadian oktober lalu dibawah kepemimpinan erick thohir. Jadi bukan batal karena tragedi Kanjuruhan",bsgoww,POSITIF,,2023-03-29 15:30:05+00:00,,,1641100420604129283
2,"Isi full pernyataan resmi dari FIFA.

Apakah Indonesia akan terkena sanksi? Belum ada keputusan dari FIFA.

Yang sudah resmi adalah Indonesia batal jadi tuan rumah. Dan otomatis timnas Indonesia tidak akan ikut serta di Piala Dunia U-20 2023. ?? https://t.co/lYcTZ91N95",FaktaSepakbola,NETRAL,,2023-03-29 15:27:32+00:00,,,1641099779932557312
1,"Jd fix official teasure song FIFA U-20 World Cup dicancel??? 

INDONESIA siap Finalty, dibanned dari FIFA  dan batal main di World Cup U-20 ??

Politik ya politik, olahraga ya olahraga ?? https://t.co/f6sgoPS8lX",mickeykoew,NEGATIF,,2023-03-28 13:22:43+00:00,,,1640705979607293958
1,Kesedihan Hokky Caraka Jika FIFA Piala Dunia U-20 2023 Batal di Indonesia: Sweet Dreams Friends See You Soon https://t.co/YrKDKA7oJN,aboutmalangcom,NEGATIF,,2023-03-28 08:01:04+00:00,,,1640625036414586880
1,"@idextratime Sedih asli ya kalo pildun u-20 bener fix batal di Indonesia cuma gara-gara pejabat2 yang lagi caper!! Bgsstttt ?? lagian ini wakanda sok-sokan nolak, berasa negaranya langganan main pildun kali ye.. jadi mikir fifa bakalan denger.",drogonberman,NEGATIF,,2023-03-28 05:17:46+00:00,,,1640583939114016769
1,"@Indrabeant23 @andri_properti @FaktaSepakbola 1. mau nunggu selama apa timnas senior masuk piala dunia? mau nunggu haaland sama mbappe dinaturalisasi indonesia kah?
2. kita gatau berapa lama indonesia di banned FIFA kalo amit2nya WC U-20 batal. apakah 10 thn? 15 thn? 20 thn?
3. liga mati, masi produktifkah doi main bola?",troublesolver_,NEGATIF,,2023-03-28 04:35:15+00:00,,,1640573238408544257
1,"Kasian anak muda indonesia punya impian main di piala dunia dan skrg udah di depan mata malah begini, kita gabisa milih negara siapa aja yg bermasalah atau ga peserta u-20 ini dan kalo bener kejadian gajadi atau batal yg pasti fifa bakalan sanksi indonesia berat sih yakin gue",sahdam_tri,NEGATIF,,2023-03-28 03:54:42+00:00,,,1640563036057640962
1,"@idextratime @detikcom menurut gue fine fine aja mereka tanding disini , soalnya jg indo kalo batal ngadain pildun u-20 bakal banyak bgt ruginya apalagi belum sama sanksi² dari FIFA , apalagi indo mau jadi kandidat pildun 2038 , kalo masalah ga suka sama Israel tinggal sindir aja di stadion pas tanding",azzumarf_ajar,NEGATIF,,2023-03-28 02:49:31+00:00,,,1640546632306675712
1,"Main bola juga kaga jago2 amat, prestasi juga biasa aja, sekali dapet giliran jadi Tuan Rumah U-20 malah dikacauin sama Politikus2 yang lagi pada Caper

Drawing Batal, kena sanksi FIFA gegara  tolak Israel, ??

Sentimen sama Israel jadi malah RUGI negara kita. https://t.co/pbfpJEbo58",NixonMehue,NEGATIF,,2023-03-27 15:08:19+00:00,,,1640370169452306436
1,"@mohmahfudmd APABILA INDONESIA BATAL GELAR PIALA DUNIA U-20 DAN DI-BANNED FIFA
1. Timnas Israel masih bisa berlaga di event Internasional.
2. Timnas Palestina pun masih bisa berlaga di event Internasional.
3. Suporter Israel masih bisa happy lihat timnas-nya main.",LoboYohanes,NEGATIF,,2023-03-27 12:44:02+00:00,,,1640333859459055617
1,"@AntiBango_decul @The_RedsIndo Sekarang gini, kalau u-20 batal dan pindah, apakah israel dan palestina akan kena dampaknya? Nggak kan? Mereka masih bisa ikut Matchday FIFA sedangkan kita? 

Di banned, timnas ga bisa main, peringkat anjlok.. dan masih banyak lagi.",frianamran,NEGATIF,,2023-03-27 10:10:48+00:00,,,1640295294578593794
1,"Hmm, olahraga kok dikaitin sama politik, kalo Piala Dunia FIFA U-20 batal diadain di sini kan yang rugi ya Indonesia :)

https://t.co/vr1Xdz2dFz",Ola52922,NEGATIF,,2023-03-27 08:57:00+00:00,,,1640276723039371264
1,"Main bola juga kaga jago2 amet, prestasi juga biasa aja, sekali dapet giliran jadi Tuan Rumah U-20 malah dikacauin sama Politikus2 yang lagi pada Caper

Drawing Batal, kena sanksi FIFA gegara  tolak Israel, katanya si Mandra, ""Belagu Amet"" ??

Sentimen sama Israel jadi malah RUGI https://t.co/BUlIB3jmca",bobby_risakotta,NEGATIF,,2023-03-27 08:41:24+00:00,,,1640272797518925825
1,"@SiaranBolaLive Ganjar ""Indonesia ini cuma kurang orang yang bertanggungjawab.""

Oke. Let's see pertanggungjawaban dia apa jika pildun u-20 batal? Masa nolak doang tapi gak ngasih solusi ketika bangsa sendiri terancam rugi. Ya minimal lobi pihak fifa biar Indonesia bs tetep main &amp; gk diban",aw_yena,NEGATIF,,2023-03-27 05:28:30+00:00,,,1640224252329885697
2,"@FaktaSepakbola @SiaranBolaLive *BILA INDONESIA BATAL GELAR PIALA DUNIA U-20 DAN DI-BANNED FIFA:*
1. Timnas Israel masih bisa berlaga di event Internasional.
2. Timnas Palestina pun masih bisa berlaga di event Internasional.
3. Suporter Israel masih bisa happy lihat timnas-nya main.
4. Suporter Palestina pun",iccank_Asli,NETRAL,,2023-03-27 04:39:48+00:00,,,1640211996523237377
2,"Bila indonesia batal gelar piala dunia u-20 dan di banned FIFA maka :
1. Timnas israel dan timnas palestina masih bisa berlaga di event internasional.
2. Suporter israel dan palestina masih bisa happy lihat timnas-nya main.
3. Konflik israel palestina tak akan berubah.",Bedbal12,NETRAL,,2023-03-27 03:55:30+00:00,,,1640200848570744832
2,@messiiiifan @ioneinoe @PDI_Perjuangan Andaikan israel batal main di piala dunia U-20  paling FiFA menghukum  tidak boleh ikut hajat sepak bola 1 musim piala dunia.,OmHardiman,NETRAL,,2023-03-25 05:58:15+00:00,,,1639506963498405889
1,"Haha seru nih kalo sampe akhirnya plidun u-20 batal, indo kena banned fifa akhirnya liga berhenti total serta timnas bubar dan ribuan orang yg cari nafkah disitu nganggur semua, itu yg koar2 bakal tanggung jawab apa cuman wasweswos doang ??",N_Arbiyan,NEGATIF,,2023-03-25 05:15:00+00:00,,,1639496080596541440
3,"Yah batal...ambil himahnya, minimal menghilangkan beban pemerintah dan PSSI terhdp aturan ketat FIFA terkait kelayakan Stadion dan mobilisasi penonton disetiap laga Piala Dunia U 20 yg wajib dihadiri penonton minimal 10 ribu hingga 20 ribu orang.

https://t.co/gzWI47YX4o",patahulla06,POSITIF,,2023-03-29 22:34:09+00:00,,,1641207143201394688
1,"Oke. Keputusan FIFA sudah diambil. Indonesia batal jadi tuan rumah Piala Dunia U-20.

Bagaimana dg mental pemain U-20 kita? Sudah tentu jatuh, terpuruk, sedih, kecewa, marah, campur aduk. Impian mereka bermain di level Piala Dunia (meskipun kelompok U-20), buyar sudah.",FahmiAgustian,NEGATIF,,2023-03-29 17:03:32+00:00,,,1641123937710129152
1,"Lagunya Tiara, Lyodra, Ziva flat Weird Genius otomatis batal direlease buat piala dunia, sekarang aja teasernya udah ilang dari feed ig Fifa. Padahal vibesnya asik, yah bye-bye world cup U-20. Olahraga ya olahraga harusnya jangan dicampurkan dengan politik, that's the poin",skawngr_j,NEGATIF,,2023-03-29 16:15:49+00:00,,,1641111930894184449
1,"Indonesia kocak, PSSI sama aja. Pejabat sibuk cari panggung buat pemilu. BATAL sudah jadi rumah fifa wc u-20 :(",ecowskii,NEGATIF,,2023-03-29 15:59:01+00:00,,,1641107703627149312
3,"Pildun u-20 batal,. 
Sebenarnya banyak Poin di Notis FIFA,. 
yang di propaganda ya penolak Timnas Israel.. 
Padahal FIFA sangat kecewa dengan Infrastruktur pendukung Sekitar Stadion yg kurang memadai,.! 
Udah Gitu aja,. 
cuman opini Pribadi!! 
@Pssi Goblok !!!",ariusmarley,POSITIF,,2023-03-29 15:47:31+00:00,,,1641104809096007680
1,"Indonesia dipastikan batal menjadi tuan rumah Piala Dunia U-20 2023. Keputusan tersebut diambil usai pertemuan FIFA dengan PSSI.

Buat anda2 yg menolak israel di piala dunia u-20…??????senggol donk ad yg kena mental wakawkwkwkwk https://t.co/Wx96QLla3U",Dkian818,NEGATIF,,2023-03-29 15:35:46+00:00,,,1641101850933067777
2,"Jelas BATAL PILDUN U-20 2023!

FIFA removes Indonesia as host of FIFA U-20 World Cup 2023™

Following today’s meeting between FIFA and Erick Thohir, FIFA has decided, due to the current circumstances, to remove Indonesia as the host of the FIFA U-20 World Cup 2023™.

Game over!",mirroreye,NETRAL,,2023-03-29 15:17:29+00:00,,,1641097252914761728
2,"Drawing Piala Dunia U-20 di Bali Batal Digelar, Lagu 'Glorius' Ciptaan Weird Genius Dihapus dari Situs FIFA  https://t.co/2ifpAFeZws",tvOneNews,NETRAL,,2023-03-29 08:11:07+00:00,,,1640989952073949185
2,"Melansir situs resminya, FIFA menghapus artikel berjudul FIFA and Weird Genius tease electrifying Official Song, sinyal Piala Dunia U-20 2023 batal digelar di Indonesia menguat?
https://t.co/WRHRTFJvAc",liputan6dotcom,NETRAL,,2023-03-28 11:33:19+00:00,,,1640678450871812096
2,"FIFA Hapus Artikel Lagu Resmi Ciptaan Weird Genius, Tanda-tanda Piala Dunia U-20 Batal? https://t.co/BaDkbngBSS",kerangkapikir,NETRAL,,2023-03-28 07:22:46+00:00,,,1640615396158980098
2,"Ini kalo indo beneran batal gelar pildun u-20 dan diban FIFA, aku bakal unfollow semua aku bola di sec Ig dan medsos. Mau pensiun nonton bola aja, ya meskipun Chelsea dan timnas jg hal yg membuatku suka bola sejak bocil",annevermindd,NETRAL,,2023-03-27 10:19:41+00:00,,,1640297530859876352
1,"Kalo udah berurusan dengan Anies, Pasti pendukungnya langsung brutal.

FIFA Batal Cancel U-20 Bawaslu Jogja Argentina Israel Bukber Naik Sore sehun SAY LALISA DAY

??????? ????? ????? ???????? ???????? ??????? ?????? ???? https://t.co/rnUf7Zq7TZ",NadyaAmanda33,NEGATIF,,2023-03-27 08:37:23+00:00,,,1640271786876211201
1,"Pendukung Anies punya sifat brutal dan suka kerusuhan.

Batal Anastasia FIFA U-20 Lokal SOLD OUT Argentina Cancel Bukber Naik WTS WTS sehun #GmmtvOuting2023

???? ????? ????? ??????? ???? cola?? ????? ???? ????? https://t.co/STIi02fhog",CelineAndita22,NEGATIF,,2023-03-27 08:09:48+00:00,,,1640264846288752640
1,"@KompasTV Gubernur Bali sdh ikut menandatangani perjanjian 'Host City Agreement' buat kepala daerah tempat dilaks nya Piala Dunia U-20 2023. Sekarang menolak kedatangan tim Israel, duh ini judulnya apa pk Gub,? dampaknya drawing Piala Dunia U 20 olh FIFA batal di Bali.",AmasMamel,NEGATIF,,2023-03-27 05:43:29+00:00,,,1640228025550909440
1,"@HechiAnget @TxtdariHI Beliau dengan lugunya kepengaruh propaganda kadrun, sampai mengabaikan betapa besarnya kerugian yg akan dialami insan sepakbola apabila penyelenggaraan Piala Dunia U-20 di Indonesia sampai batal ataupun mendapat sanksi FIFA.",HILARlO,NEGATIF,,2023-03-26 22:23:57+00:00,,,1640117412392734720
2,"FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023
#U20 https://t.co/xKWFaOleOX",hekahert,NETRAL,,2023-03-29 21:41:32+00:00,,,1641193900118511616
2,@Moektito u20 u-20 golput partai gubernur ganjar kecewa oktober 2022 hokky caraka blunder tragedi israel puas batal tandain presiden palestina banned sanksi nasib sedih  breaking news FIFA harapan jokowi bali stadion kanjuruhan korban jauh hari garuda indonesia nangis marah misuh gagal nt,Anang870,NETRAL,,2023-03-29 18:04:37+00:00,,,1641139313260756999
2,"BREAKING NEWS INDONESIA BATAL JADI TUAN RUMAH PIALA DUNIA U20….!!!.

FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023 https://t.co/FW3WZB216l",S4N_W1B1,NETRAL,,2023-03-29 16:56:20+00:00,,,1641122128731987979
2,Indonesia Batal jadi Tuan Rumah Piala Dunia U-20 https://t.co/LRz02Q3P4I #FIFA #PialaDunia #PialaDuniaU20 #U20 https://t.co/zXYqHetecC,Beritabaruco,NETRAL,,2023-03-29 16:25:13+00:00,,,1641114298641715201
2,"BATAL.

Indonesia batal jadi tuan rumah Piala Dunia U-20. Hal ini disampaikan FIFA setelah Gianni Infantino bertemu dengan Ketum PSSI Erick Thohir di Doha. Rilis ini juga disampaikan melalui situs resmi FIFA.

#Narasi #JadiPaham #U20 https://t.co/4snN8rYf2I",tanterempoong,NETRAL,,2023-03-29 16:05:04+00:00,,,1641109225471643654
1,"Sampai kapan negeriku seperti ini ,berpuluh puluh tahun kita menanti tuan rumah sepakbola U20 internasional.. hancur lebur hati gara gara orang gak tau membedakan olahraga dengan politik. 

FIFA: Indonesia Batal jadi Tuan Rumah Piala Dunia U-20 https://t.co/ccNUnBSjny",owkwiw,NEGATIF,,2023-03-29 15:41:27+00:00,,,1641103284193886208
2,"#BREAKINGNEWS - Indonesia Batal Jadi Tuan Rumah Piala Dunia U20

Hasil pertemuan antara Gianni Infantino Presiden FIFA dan Erick Thohir Ketua PSSI pada Rabu (29/3/2023) memutuskan menghapus Indonesia sebagai tuan rumah FIFA U-20 World Cup 2023. (1/hm) https://t.co/yR1t7SCXKl",e100ss,NETRAL,,2023-03-29 15:37:29+00:00,,,1641102284653461506
2,"Resmi! Indonesia batal menjadi tuan rumah World Cup U-20 ??

#indonesia #u20 #fifaworldcup #worldcupu20 #pssi #fifa #israel #palestine #erickthohir #pialadunia #batal #liga1 https://t.co/HBAarLQv62",factball_idn,NETRAL,,2023-03-29 15:23:07+00:00,,,1641098670102970369
2,"Koordinator Save Our Soccer Akmal Marhali meyakini Indonesia batal menjadi tuan rumah Piala Dunia U-20. Menurutnya penolakan terhadap Timnas Israel didalamnya terkandung unsur politik, dan FIFA sangat antiterhadap hal-hal tersebut

#FIFA #Israel #U20 

https://t.co/7NNk4fp9UI",medcom_id,NETRAL,,2023-03-29 12:00:03+00:00,,,1641047566291808256
2,"Ridwan Kamil, enggan berkomentar lebih jauh terkait Indonesia yang terancam batal menjadi tuan rumah Piala Dunia U-20. Ridwan Kamil pun sentil kepala daerah yang menolak kehadiran timnas Israel dalam ajang pesta olahraga tersebut

#israel #fifa #u20 

https://t.co/E8MPcGs3kc",medcom_id,NETRAL,,2023-03-28 09:14:00+00:00,,,1640643390961496064
2,"Kabar Indonesia batal menjadi tuan rumah Piala Dunia U-20 2023 kemungkinan besar terjadi.

Pasalnya, FIFA dilaporkan sudah mengirimkan surat ke pemerintah Indonesia perihal status tuan rumah Piala Dunia U-20 2023.

#PialaDunia #FIFA23 #U20 #Indonesia #Bali https://t.co/1C1UbuPMbC",qultype,NETRAL,,2023-03-28 08:38:11+00:00,,,1640634376131325954
3,"Meski Drawing Batal, FIFA Tetap Rampungkan Verifikasi Stadion Piala Dunia U-20

 Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia. 
 https://t.co/wjRdvv0S1y

#fifa #u20 #pialaduniau20 #worldcup #pialadunia #u20indonesia #indonesia #beritabola #beritabolaterkini https://t.co/JyB2slzOWU",ketikmedia,POSITIF,,2023-03-28 04:43:40+00:00,,,1640575358734041090
2,"Piala dunia U20 terancam batal?!

Piala Dunia U-20 ditolak, FIFA bertindak!??

#timnasIsrael #FIFA #Israel #PialaDuniaU20 #pinterpolitik #beritapolitik #infografis #politik #politikIndonesia https://t.co/LDJ83w7DBi",pinterpolitik,NETRAL,,2023-03-28 04:08:59+00:00,,,1640566627908616193
2,"Piala Dunia U-20 yang digelar di Indonesia terancam batal digelar. 
Alasan FIFA membatalkan keputusan tersebut dinilai karena penolakan terhadap keikutsertaan Timnas Israel di Piala Dunia U20 2023 
#Parlay88 #PialaDuniaU20HarusSukses #FIFA #Israel #Indonesia https://t.co/mSsb4MgTZC",khunnam2000,NETRAL,,2023-03-27 21:34:05+00:00,,,1640467251685130240
3,"Piala Dunia U-20 yang digelar di Indonesia terancam batal digelar. 
Alasan FIFA membatalkan keputusan tersebut dinilai karena penolakan terhadap keikutsertaan Timnas Israel di Piala Dunia U20 2023. Setuju dengan keputusan tersebut? 

#pialaduniau20 #timnasisrael #fifa https://t.co/IMfVrVfpQY",Metro_TV,POSITIF,,2023-03-27 14:03:00+00:00,,,1640353731823935489
2,"Baru saja diumumkan pembatalan drawing oleh LOC Piala Dunia U-20 2023. Situasi ini memunculkan dugaan bahwa event ini juga terancam batal terlaksana. CIL

#GTVNews #FIFA #PialaDunia #U20 #Drawing https://t.co/H7KdNYy0AO",GTVID_News,NETRAL,,2023-03-27 03:23:17+00:00,,,1640192740209065986
2,"Drawing Piala Dunia U-20 di Bali yang harusnya dilakukan akhir Maret batal. PSSI mengungkapkan, penolakan Timnas Israel oleh Gubernur Bali Wayan Koster, menjadi alasan bagi FIFA untuk membatalkan pengundian Piala Dunia U-20.

#pialaduniaU20 #drawingpialadunia #U20 #PSSI #FIFA https://t.co/5tROexuu0C",lensaRTV,NETRAL,,2023-03-27 02:16:23+00:00,,,1640175904449261568
3,@CNNIndonesia Kl batal di Indonesia paling FIFA tinggal nyari negara mana yg paling siap secara keamanan dan infrastruktur untuk jadi penyelenggara FIFA U20  2023.. tg dlm waktu kurang dr 2 bulan bisa selenggarakan Piala Dunia U 20,zhouchean11,POSITIF,,2023-03-26 10:38:23+00:00,,,1639939849129201672
2,"Piala Dunia U-20 2023 di Indonesia dalam bahaya. 

Jika, Drawing Fase Grup Piala Dunia U20 tidak terlaksana atau batal dalam waktu yang sudah ditentukan, Indonesia harus siap mendapatkan sanksi dari FIFA. https://t.co/mWWFpqKYmj",Indostransfer,NETRAL,,2023-03-25 06:29:20+00:00,,,1639514785724379137
3,"@TTSLongtong Topik utama sejak kemarin masalah indonesia yang bisa saja dibekukan oleh fifa jika batal menyelenggarakan piala dunia U-20
Semoga hal terbaik untuk indonesia dan tetap menjadi tuan rumah untuk piala dunia u20
#IndonesiaDiBanFIFA",beautyhealt00,POSITIF,,2023-03-25 05:24:47+00:00,,,1639498541797347329
3,"Indonesia Bisa Disanksi FIFA Andai Drawing Piala Dunia U-20 Batal.

""Saya dengar rumor bahwa acara official drawing Piala Dunia U20 di tanggal 31 Maret batal. Meski santer, tapi saya masih cari info terus.” ujar Akmal Marhali.

Persiapan dah dari 2019?? https://t.co/zVQj1mKsyt",FaktaSepakbola,POSITIF,,2023-03-25 05:06:03+00:00,,,1639493828964143104
2,"FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023

FIFA resmi membatalkan Indonesia sebagai tuan rumah Piala Dunia U-20 2023. Pihaknya menyampaikan hal tersebut melalui situs resmi, Rabu (29/3) malam.

https://t.co/IoXycctEK7 https://t.co/cvRERPUg8C",ChoNunik,NETRAL,,2023-03-29 23:50:40+00:00,,,1641226398424612866
2,"Wah wah wah, FIFA World Cup U-20 batal di Indonesia, yak.",newrosita,NETRAL,,2023-03-29 23:49:42+00:00,,,1641226154354053121
1,"@ganjarpranowo Tiada hari tanpa pencitraan. 
Bacot loe gede. 
FIFA U+20 sudah batal smg mas puas.",CozyAmos1,NEGATIF,,2023-03-29 23:43:24+00:00,,,1641224569670467584
2,Indonesia Batal Tuan Rumah Piala Dunia U-20 https://t.co/7WLg3D1O72  #beritaolahraga #nusabali #sepakbola #FIFA #PialaDuniaU20,nusabalicom,NETRAL,,2023-03-29 23:34:06+00:00,,,1641222230419083265
3,"Tidak ada yang bisa ataupun boleh disalahkan di hal ini.
Semua punya hak untuk bersikap, terlepas sikapnya menerima ataupun menolak.
Keputusan akhir tetap berada di tangan FIFA, dan FIFA sudah memutuskan untuk batal menjadikan Indonesia sebagai tuan rumah pildun u-20 kali ini.",apoy_orasepele,POSITIF,,2023-03-29 23:28:48+00:00,,,1641220894965260288
2,"4 penyebab Piala Dunia U-20 batal :

A, Presiden: Pintu stadion terkunci.
B, Polisi: Suporter israel nakal.
C, Hakim: ANGIN.
D, FIFA: Tragedi KANJURUHAN yg menewaskan 135 suporter bola tidak ditangani dg adil dan takut kejadian bisa terulang.

Pilih jwban yg WARAS akal sehat.",BasKopi,NETRAL,,2023-03-29 23:15:41+00:00,,,1641217593032994817
1,"Masih gk nyakang fifa u 20 batal.
asem benr",RRai51,NEGATIF,,2023-03-29 23:11:00+00:00,,,1641216417247928322
2,"FIFA : Indonesia batal jadi tuan rumah U-20

Menolak Israel ??
Kurangnya stadion ??
Tragedi (Kanjuruhan) Oktober 2022 ??

Doa para ortu dan keluarga korban Kanjuruhan berangsur terjawab https://t.co/eMn43zMdHo",Bayu_Triatmaja,NETRAL,,2023-03-29 23:08:36+00:00,,,1641215812634816512
2,Kronologi RI Batal Tuan Rumah U-20 &amp; Pernyataan Lengkap FIFA https://t.co/SkBlWGbq7w,cnbcindonesia,NETRAL,,2023-03-29 23:00:34+00:00,,,1641213789021372416
2,BATAL !! FIFA removes Indonesia as host of FIFA U-20 World Cup 2023 !! #FIFA23 #Indonesia #Israel #Palestine https://t.co/pV4hRRERXf,AntoBagus7,NETRAL,,2023-03-29 22:53:56+00:00,,,1641212121366286337
1,"Ini lah Akhirnya karena Ego yang tidak bisa memisahkan Politik dan Olahraga. Akhirnya Kandas Kesempatan baik yang ada... Bela Negara lain malah rugi sendiri... 

FIFA: Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20 2023 https://t.co/0gSRfMUpfk",KolondamDaniel,NEGATIF,,2023-03-29 22:53:30+00:00,,,1641212011257405442
