Hasil,Nilai,Sentimen,Compound_Score,Sentiments
kampungan banget calon tuan rumah piala,1,positif,0,Netral
karakter sulit diubah gini piala oiya tuan rumah pildun aduh kurangin deh,1,positif,0.4019,Positif
level senior kapasitas stadion syarat minimal ribu single seat final ribu single seat indonesia layak tuan rumah piala senior transportasi fasilitas penunjangnya,1,positif,0.4404,Positif
percaya rank indonesia timnas piala asia piala percaya tuan rumah donasiotakuntukaremania,1,positif,0.765,Positif
olahraga sepakbola berjalan lancar aman menghadapi tuan rumah pagelaran piala tahun cepmek gempa krl jabodetabek tifa puyo pamungkas kesehatan mental jateng banten proudofjokowi,1,positif,0.4939,Positif
tuan rumah piala tahun dpn standard keamanan football game menerapkan aturan fifa,1,positif,0.34,Positif
indonesia resmi dipercaya tuan rumah penyelenggaraan piala hilang so sad,1,positif,-0.3804,Negatif
absolutely no ketua fifa mensuspend indonesia tuan rumah piala memindahkan lokasi pertandingan,0,netral,-0.4767,Negatif
tolong fifa batalkan indonesia tuan rumah piala ban sepak bola indonesia losss rewel ketimbang terulang tragedi nyawa boss hilang sedih,0,netral,-0.9153,Negatif
larang arema berpartisipasi event sepakbola nasional minimal tahun degradasikan arema fifa menghukum pssi iwan bule wajib mundur pt lib melepas hak pengelolaan liga batalkan hak tuan rumah piala,0,netral,-0.9231,Negatif
efek dominonya status kelanjutan liga sponsor amp investor sanksi fifa pertimbangan revisi indonesia tuan rumah piala kecorengnya sepakbola indonesia dimata trust issue masyarakat sepakbola complicated saudara laki-laki,0,netral,0.25,Positif
tahun tuan rumah piala timnasnya training center tahun federasi berdiri tua usia federasi usia negara tahun deh seabad loh,1,positif,0,Netral
kesiapan indonesia tuan rumah piala butuh perbaikan minor by sindonews,1,positif,0.25,Positif
kesiapan indonesia tuan rumah piala butuh perbaikan minor terbaru butuh indonesia kesiapan,1,positif,0.4588,Positif
kesiapan indonesia tuan rumah piala butuh perbaikan minor sindonews bukanberitabiasa,1,positif,0.25,Positif
logo piala mahkota mewarnai hasrat global permainan sepak bola benua tuan rumah indonesiasiap,1,positif,0.6705,Positif
piala digelar mei lupa tuan rumah rusuh indonesiasiap,1,positif,0.3612,Positif
jujur pengen banget indonesia tuan rumah piala memuluskan indonesia biding amin indonesiasiap,-1,negatif,0.8479,Positif
tuan rumah piala lahir ronaldo messi indonesiasiap,1,positif,0.3612,Positif
berlaga piala kayaknya mimpi timnas terwujud lahi tuan rumah indonesiasiap,1,positif,0.8316,Positif
jadwal penyelenggaraan piala indonesia match tanggal mei final tanggal juni tuan rumah indonesiasiap,1,positif,0.3612,Positif
jadwal pertandingan piala teman-teman catat share yuk biar indonesia mnjadi tuan rumah indonesiasiap,1,positif,0.7783,Positif
semoga kerjasama pemerintah jajaran relawan berjalan lancar piala kendala terselesaikan indonesia tuan rumah dampak positif kedepannya indonesiasiap,1,positif,0.7906,Positif
catat penyelenggaraan piala indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
pengen bali rindu bali gak pengundian grup ajang piala taman werdhi budaya art centre bali loh teman-teman tuan rumah indonesiasiap,1,positif,0.6486,Positif
piala tahun diadakan kota teman-teman palembang jakarta bandung surakarta surabaya bali keliling gak senangnya indonesia mnjdi tuan rumah indonesiasiap,1,positif,0.3822,Positif
gak bangga coba negara terpilih tuan rumah piala gak bosen ngulang mantapz pokoknya berjalan lancar sukses indonesiasiap,1,positif,0.6662,Positif
yuk dukung sukseskan indonesia tuan rumah piala indonesiasiap,1,positif,0.7506,Positif
mari dukung doakan kelancaran acara piala diadakan stadion kota tuan rumah indonesia indonesiasiap,1,positif,0.7579,Positif
pssi fifa kompakam kesiapan stadion stadion penyelenggaraan ajang bergengsi piala world indonesiasiap tuan rumah,0,netral,0.5423,Positif
ohya teman-teman gak teman-teman indonesia mnjadi tuan rumah piala dampak positif kecipratan rezeki pariwisata perhotelan transportasi loh indonesiasiap,0,netral,0.8536,Positif
keterlibatan tim indonesia piala tanggung tim nasional teman-teman pemerintah tuan rumah tim indonesia dukungan tampil maksimal indonesiasiap,0,netral,0.8625,Positif
stadion bertanding liga tahap perbaikan persiapan tuan rumah piala indonesiasiap,0,netral,0.5106,Positif
menarik piala logo digunakannya dimana logonya terinspirasi kekayaan alam budaya indonesia tuan rumah warna cerah digambarkan logo indonesiasiap,1,positif,0.9451,Positif
kesuksesan piala melahirkan anak anak muda jago bermain bola menjelma superstar lapangan hijau berharap indonesia tuan rumah mencetak pemain hebat indonesiasiap,1,positif,0.9509,Positif
mari manfaatkan momentum indonesia tuan rumah ajang piala kesempatan membuka kesempatan relawan kesempatan pengalaman terlupakan indonesiasiap,1,positif,0.8689,Positif
keberhasilan penyelenggaraan piala tergantung terkecuali masyarakat umum dukungan kesuksesan ajang indonesiasiap tuan rumah,1,positif,0.9118,Positif
tuan rumah piala tim nasional sepak bola indonesia otomatis kesempatan berpartisipasi turnamen indonesiasiap,1,positif,0.6486,Positif
keuntungan tuan rumah lupa dukungan talenta berpartisipasi piala indonesiasiap,1,positif,0.8481,Positif
bagusnya prestasi tim nasional indonesia kenyamanan keamanan peserta pendukungnya indonesia ukuran kesuksesan piala tuan rumah indonesiasiap,-1,negatif,0.946,Positif
pengundian diadakan trophy experience momen masyarakat berinteraksi trofi juara piala tuan rumah indonesiasiap,1,positif,0.3612,Positif
fifa meluncurkan logo piala lambangnya didominasi warna merah putih biru kuning membentuk trofi pengumumannya bertepatan hut tuan rumah ri tahun indonesiasiap,1,positif,0.3612,Positif
jajaran mari sukseskan perhelatan piala majukan perekonomian sektor berdampak positif perhelatan international tuan rumah indonesiasiap,1,positif,0.8689,Positif
piala dianggap salah acara sepak bola ajang dinanti nantikan penggemar sepak bola muda tuan rumah indonesiasiap,1,positif,0.6124,Positif
penyelenggaraan piala beda ajang tuan rumah jokowi presiden fifa gianni infantino diadakan upacara pembukaan penutupan semangatt ayo buktikan indonesiasiap,1,positif,0.5994,Positif
cek deh warna logo piala tuan rumah indonesiasiap,1,positif,0.3612,Positif
piala diawali seremoni pembukaan meriah dirancang menteri pariwisata ekonomi kreatif indonesia wishnutama tuan rumah indonesiasiap,1,positif,0.7096,Positif
piala diikuti negara tuan rumah indonesia dibagi enam grup turnamen digelar mei juni tuan rumah indonesiasiap,1,positif,0.3612,Positif
peserta piala lolos indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
kesuksesan acara piala bahu membahu menteri tuan rumah indonesiasiap,1,positif,0.9118,Positif
relawan membantu tuan rumah piala indonesiasiap,1,positif,0.6369,Positif
jadwal pertandingan piala fifa optimis tuan rumah indonesiasiap deh,0,netral,0.5859,Positif
tim lolos tahap final diundi grup tim gambaran jadwal pertandingan piala indonesia tuan rumah indonesiasiap,0,netral,0.3612,Positif
tuan rumah andil mensukseskan gelaran piala indonesiasiap,0,netral,0.5719,Positif
perhatikan deh logo piala mahkota mewakili hasrat global permainan sepakbola negara tuan rumah indonesiasiap,0,netral,0.6705,Positif
indonesia tuan rumah piala loh mesti jaga bareng bareng indonesiasiap,1,positif,0.6908,Positif
catet mei juni piala gelar indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
kebayang pastinya giamna seru piala udah gak sabar mei giamna suporter indonesia indonesiasiap tuan rumah,1,positif,0.6908,Positif
tim negara lolos piala slovakia italia israel prancis inggris selandia fiji amerika serikat honduras guatemala rep dominika brasil uruguay kolombia ekuador tuan rumah indonesia indonesiasiap,1,positif,0.3612,Positif
tuan rumah piala pastinya bangga talenta talenta muda bertanding kacah indonesiasiap,1,positif,0.8316,Positif
erick gebrakannya piala moment keren mantul pecinta bola begadang khannn tuan rumah indonesiasiap,1,positif,0.802,Positif
fyi fifa resmi meluncurkan logo piala peluncurannya bertepatan hut ri tahun indonesiasiap tuan rumah,-1,negatif,0.5106,Positif
tuan rumah indonesia menggelar piala aman meriah yuk komponen bangsa sukseskan event indonesiasiap,1,positif,0.9001,Positif
yuk dukung ciptakan situasi aman perhelatan piala berjalan lancar dikenang pengaruh positif kedepannya persepakbolaan indonesia tuan rumah indonesiasiap,1,positif,0.9169,Positif
logo piala penuk makna tuan rumah indonesiasiap,1,positif,0.3612,Positif
semangat pemain timnas pelatih panitia relawan terlibat piala indonesiasiap tuan rumah,1,positif,0.6597,Positif
catet jadwal pertandingan piala fifa berdoa timnas indonesia lolos final juara bertepatan tuan rumah aamiin indonesiasiap,1,positif,0.5859,Positif
tim lolos piala indonesia indonesia tuan rumah perhelatan pesta bola indonesiasiap,1,positif,0.6369,Positif
semoga kesempatan tuan rumah piala menjadikan indonesia negara berkopetensi dipercaya mengadakan acara indonesiasiap,1,positif,0.9118,Positif
keunmtungan tuan rumah piala pastinya lolos kualifikasi negara babak kualifikasi pemain timnas berjuang penuh pastinya pertandingan indonesiasiap,1,positif,0.5719,Positif
nyok ramein gbk salah stadion gelar laga piala tahun tuan rumah menyambut hadir kesini semangat sportif indonesiasiap,1,positif,0.4215,Positif
pssi fifa memantau persiapan stadion penyelenggaraan piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
tuan rumah pemkot surabaya berbenah menyongsong piala indonesiasiap alternatif wisata percantik,1,positif,0.7003,Positif
tuan rumah piala membantu mengembangkan olahraga tanah air warisan infrastruktur signifikan bermanfaat sepak bola indonesia indonesiasiap,0,netral,0.7351,Positif
acara pengundian grup piala tuan rumah indonesiasiap,0,netral,0.3612,Positif
lupa piala gelar tanggal mei catat tanggalnya lupa he indonesiasiap tuan rumah,0,netral,0.3612,Positif
yuk telanta muda indonesia berbakat ujuk piala semoga depannya pemain kelas tuan rumah indonesiasiap,0,netral,0.8176,Positif
yuk sukseskan ajang piala fifa indonesia kasih harum nama bangsa kancah jaga ketertiban keamanan kenyamanan keselamatan yaa sukses piala fifa indonesia indonesiasiap tuan rumah,1,positif,0.9738,Positif
komponen bahu membahu masyarakat indonesia andil suksesnya hajatan bola tahun indonesiasiap tuan rumah sukses gelar piala,1,positif,0.9468,Positif
kota disinggahi trofi piala gak cek deh perjalanan trofi mampir negara tuan rumah indonesiasiap,1,positif,0.0772,Positif
talent piala dukung kualitasnya keren cikal pemain diego maradona lionel messi sergio aguero tuan rumah indonesiasiap tuan rumah indonesiasiap,1,positif,0.891,Positif
lambang logo resmi piala indonesia diluncurkan fifa tuan rumah bangga logo memiliki indonesiasiap,1,positif,0.5574,Positif
telanta muda berbakat ujuk diiri piala depannya ajdi pesain pemain kelas tuan rumah indonesiasiap,1,positif,0.8316,Positif
trus penyelenggaran piala berbeda ajang tu bedanya indonesiasiap tuan rumah,-1,negatif,0.3612,Positif
trofi piala mampid indoensia tuan rumah kota penyelengaraan amp kota arak arakan trofi indonesiasiap,1,positif,0.3612,Positif
tuan rumah piala kesempatan emas indonesia belajar negara sepakbolanya maju penyelenggaraan event kelas internasional indonesiasiap,1,positif,0.743,Positif
tuan rumah piala indonesia kota penyeleggara pertandingan papua loh mengenalkan indonesia indonesiasiap,1,positif,0.3612,Positif
bayangkan perhelatan piala fifa tahun menampilkan tim negara bersaing ketat memperebutkan trofi bergengsi indonesia tuan rumah ajang indonesiasiap,1,positif,0.3612,Positif
fifa memantau persiapan stdion acara piala berjalan lancar tuan rumah indonesiasiap,1,positif,0.3612,Positif
semoga nama pemain timnas indonesia mendunia indonesia meraih piala mari dukung brsama indonesia tuan rumah piala indonesiasiap,1,positif,0.8979,Positif
kejuaraan piala meriah banget paska pandemi terkendala pandemi tuan rumah indonesiasiap,1,positif,0.8016,Positif
tuan rumah piala pengalaman terlupakan negara indonesia amp mencatat sejarah indonesiasiap,1,positif,0.1531,Positif
harry kane maradona messi jebolan piala seri seri seru banget yaa tuan rumah calon bintang sepakbola indonesia indonesiasiap,1,positif,0.7178,Positif
bangga banget pastinya tuan rumah indonesia menang ajang piala indonesiasiap,1,positif,0.796,Positif
bahu membahu berjalan lancar perhelatan international piala meriah maju indonesia berdampak positif tuan rumah indonesiasiap,1,positif,0.9382,Positif
ajang pesta piala melibatkan negara warga asing berkunjung indonesia keuntungan tuan rumah pastinya indonesiasiap,0,netral,0.836,Positif
menpora zainudin amali indonesia tuan rumah ajang piala persiapannya berjlaan lancar waktu mangstap juragan indonesiasiap tuan rumah,0,netral,0.3612,Positif
hayoo gak sabar nonton piala indonesia tuan rumah indonesiasiap,0,netral,0.3612,Positif
yok fans bola indonesia mari merapat dukung suksesnya indonesia tuan rumah piala bersinar ajang sepak bola internasional,0,netral,0.7506,Positif
piala indonesia tinggal menghitung momen bersejarah indonesia pagelaran sepak bola bangga banget deh tuan rumah indonesiasiap,1,positif,0.5256,Positif
negara tuan rumah piala gak nonton catet deh jadwalnya biar gak ketinggalan matchnya indonesiasiap,1,positif,0.4952,Positif
pertamakalinya indonesia tuan rumah piala loh ayo tunjukin semangat sepak bola kalah negara eits jaga keamanan mari jaga kepercayaan indonesia tuan rumah indonesiasiap,1,positif,0.7717,Positif
berkerjasama kesuksesan acara piala menpora penanggung penyelenggara timnya tuan rumah indonesiasiap,1,positif,0.7351,Positif
piala sukses warga negara indonesia dukung pssi pemerintah menjalankan acara tuan rumah indonesiasiap,1,positif,0.836,Positif
bayangin wisatawan asing domestik berkunjung sleama piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
penyelenggaraan piala indonesia tuan rumah rezeki bidang pariwisata perhotelan transportasi indonesiasiap,-1,negatif,0.3612,Positif
pssi pemerintah berjanji pengalaman terlupakan menghadirkan piala meriah tuan rumah indonesiasiap,1,positif,0.7964,Positif
event piala vakum tahun pandemi negara tuan rumah waah pecah banget semangatnya bertumpuk total indonesiasiap,1,positif,0.8481,Positif
banget penyelenggaraan piala pendorong perekonomian indonesia indonesiasiap tuan rumah,1,positif,0.5994,Positif
tuan rumah piala indonesia dibantu menpora pssi menteri pupr penanggung infrastruktur indonesiasiap,1,positif,0.3612,Positif
waktu rezeki neh bali tanggal maret nonton pengundian grup piala catet tempatnya keliru hehehe tuan rumah indonesiasiap,1,positif,-0.1531,Negatif
logo piala disematkan mahkota mewakili hasrat global permainan sepakbola logo gambaran kemeriahan tercipta penyelenggaraannya tuan rumah indonesiasiap,1,positif,0.802,Positif
pesta piala membantu mendorong perekonomian bangsa bagus bangga tuan rumah perhelatan piala indonesiasiap,1,positif,0.9118,Positif
pemerintah fifa membahas city dressing upaya mempromosikan wilayah terkait penyelenggaraan piala tuan rumah indonesiasiap,1,positif,0.6249,Positif
rundown piala indonesia ayo tebak negara negara tergabung grup indonesia grup negara yaa tuan rumah indonesiasiap,1,positif,0.3612,Positif
tuan rumah pssi pemerintah berjanji pengalaman gak terlupakan menghadirkan piala meriah asikk indonesiasiap sabar menjelang penyelenggaraan event internasional,1,positif,0.7906,Positif
alhamdulilah melewatkan tahun tahun indoensia tuan rumah piala indonesiasiap,1,positif,0.0772,Positif
deh logo piala makna mendalam klo fifa bilang logonya terinspirasi kekayaan alam budaya indonesia warnanya cerah tuan rumah indonesiasiap,0,netral,0.9231,Positif
opening ceremony piala fifa rencananya digelar stadion utama gbk hmm closing stadion indonesiasiap tuan rumah,0,netral,0.3612,Positif
ohh penyeleangaraan piala indonesia tuan rumah patur berbangga diikuti negara mengirimkan timnasnya berumur tahun indonesiasiap,0,netral,0.6808,Positif
semoga talenta muda sepakbola indonesia tampil beban sukses meraih piala kemenangan piala aamiin yra tuan rumah indonesiasiap,0,netral,0.9393,Positif
pokoknya upaya pemerintah daerah ketempatan piala persediaan pasokan listrik jjaringan internet stadion gbt surabaya tuan rumah indonesiasiap,1,positif,0.3612,Positif
trus negara pengecualian fifa loh gak upacara pembukaan penutupan ajang piala fifa indonesia diperbolehkan fifa indonesiasiap tuan rumah,1,positif,0.3612,Positif
kelancaran penyelenggaraan piala dibutuhkan kerjasama pemerintah masyarakat penyelenggaraan piala keuntungan indonesia tuan rumah indonesiasiap,1,positif,0.6597,Positif
listrik aspek penyelenggaraan piala pasokanya disiapkan nggak lupa jaringan internetnya ges tuan rumah indonesiasiap,1,positif,0.6207,Positif
yuk catat stadion dipakai piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
dampaknya banget tuan rumah penyelenggaraan piala ekonomi indonesiasiap,1,positif,0.4201,Positif
pemkot surabaya berbenah menyambut indonesia tuan rumah piala siapin alternatif wisata turis romokalisari adventure land susur sungai kalimas mobil off road tahura pakal indonesiasiap,-1,negatif,0.8625,Positif
uniknya tampilan logo piala fifa fifa terinspirasi kekayaan alam budaya beragam loh penuh warna gituu indonesiasiap tuan rumah,1,positif,0.8925,Positif
indonesiasiap tuan rumah piala dukungan suksesnya acara,1,positif,0.836,Positif
surabaya salah kota penyelenggara piala pemerintah kota berbenah baahkan siapin alternatif wisata turis loh tuan rumah indonesiasiap,1,positif,0.3612,Positif
negara tuan rumah piala fifa negara dipercaya presidensi mengundang decak kagum internasional indonesiasiap,1,positif,0.8442,Positif
semoga logo piala perubahan sepak bola indonesia indonesiasiap tuan rumah,1,positif,0.6597,Positif
logo piala logonya terinspirasi kekayaan alam dam budaya indonesia tweeps semangat tuan rumah teman-teman indonesiasiap,1,positif,0.9349,Positif
keren undian nonton bola piala bali indonesiasiap tuan rumah,1,positif,0.5859,Positif
pemkot surabaya berbenah kesuksesan acara piala tuan rumah indonesiasiap,1,positif,0.7351,Positif
federasi sepak bola berupaya kesiapan piala urusan stadion salah satunya stadio gbt surabaya tuan rumah indonesiasiap,1,positif,0.5423,Positif
bergerak serentak menyukseskan acara piala tuan rumah indonesiasiap sukses,1,positif,0.836,Positif
syarat kualifikasi relawan ajang piala proses pendaftarannya ditutup tanggal februari semoga relawan terpilih profesional maksimal tuan rumah indonesiasiap,1,positif,0.6597,Positif
butuh kerjasama menyukseskan piala indonesia tuan rumah indonesiasiap,0,netral,0.6908,Positif
kelancaran penyelenggaraan piala berjalan sesuai rencana perwakilan fifa persiapan stadion bertanding indonesiasiap tuan rumah,0,netral,0.3612,Positif
oiya logo piala fyi logo diresmi diluncurkan fifa lambang logonya didominasi warna merah trus warna putih biru kuningnya warnanya cerah gituu indonesiasiap tuan rumah,0,netral,0.8555,Positif
persiapan tuan rumah stadion piala indonesiasiap,0,netral,0.3612,Positif
pemerintah fifa mitra lokal even piala berjalan indonesiasiap tuan rumah,1,positif,0.3612,Positif
tuan rumah perhelatan piala pemerintah berjalan lancar berdampak positif perekonomian negara indonesiasiap,1,positif,0.5574,Positif
